Hidden Dimensions,Train loss,Test loss
1,0.6516756638884544,0.6666712760925293
2,0.601124968379736,0.634313702583313
3,0.5969288945198059,0.6382891535758972
4,0.5710520446300507,0.593869149684906
5,0.5947555154561996,0.676382839679718
6,0.5397737473249435,0.6674845814704895
7,0.5603834763169289,0.6478530764579773
8,0.5849839895963669,0.6355960965156555
9,0.5461243987083435,0.63337242603302
10,0.601220790296793,0.6968178749084473
12,0.5508039407432079,0.6023135781288147
14,0.5693210810422897,0.6559299826622009
16,0.5267803408205509,0.5945366621017456
18,0.5999898090958595,0.6195658445358276
20,0.4982953481376171,0.6039543151855469
22,0.533190380781889,0.6667546033859253
24,0.5423309803009033,0.6488922834396362
26,0.6041154526174068,0.6419122815132141
28,0.5422695241868496,0.6633262634277344
30,0.5505269393324852,0.7228782773017883
32,0.5328236445784569,0.5838990211486816
34,0.5047696121037006,0.7038119435310364
36,0.559370867908001,0.6875986456871033
38,0.4936320893466472,0.6700631976127625
40,0.465098962187767,0.6253334879875183
42,0.5336384400725365,0.6466073393821716
44,0.4931642189621925,0.6070801615715027
46,0.5670363269746304,0.6601495146751404
48,0.5074935890734196,0.7132604718208313
50,0.4582191817462444,0.6833367943763733
52,0.4906732179224491,0.6512808799743652
54,0.4528999514877796,0.7105786204338074
56,0.5347599536180496,0.6978062391281128
58,0.4975609220564365,0.6623669266700745
60,0.5245483666658401,0.6671211123466492
62,0.4502927623689174,0.727291464805603
64,0.5074106343090534,0.6577672958374023
66,0.4945847131311893,0.6428714394569397
68,0.4928257875144481,0.6253786683082581
70,0.430049329996109,0.7331221699714661
72,0.4928073585033417,0.6705445647239685
74,0.508487656712532,0.6746464967727661
76,0.4751585051417351,0.6474627256393433
78,0.4650975130498409,0.6534618735313416
80,0.4762922562658787,0.733627438545227
82,0.5331068970263004,0.6511402726173401
84,0.4903239011764526,0.6549648642539978
86,0.5150647424161434,0.6488138437271118
88,0.4978409558534622,0.6281886100769043
90,0.5075330287218094,0.6541093587875366
92,0.5002862066030502,0.6350070238113403
94,0.59259919449687,0.64365154504776
96,0.5356220714747906,0.6589840054512024
98,0.5986943542957306,0.6712369918823242
100,0.4826701991260052,0.6448771357536316
110,0.455437358468771,0.7048083543777466
120,0.5566483214497566,0.6382261514663696
200,0.5020361058413982,0.6274045705795288
300,0.5863381922245026,0.613551914691925
400,0.511264979839325,0.631851315498352
500,0.5361656285822392,0.6131063103675842
600,0.6127321124076843,0.5939982533454895
700,0.5672783181071281,0.5954362154006958
800,0.5423676036298275,0.5900532603263855
900,0.610665075480938,0.6044729351997375
1000,0.5707371048629284,0.5994921326637268
