Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.5977777777777777,0.5544554455445545,0.5892857142857143
2,0.6577777777777778,0.6831683168316832,0.6696428571428571
3,0.6822222222222222,0.7029702970297029,0.6785714285714286
4,0.6855555555555556,0.7128712871287128,0.7142857142857143
5,0.7044444444444444,0.6039603960396039,0.6160714285714286
6,0.7188888888888889,0.6633663366336634,0.6696428571428571
7,0.7033333333333334,0.6435643564356436,0.6785714285714286
8,0.7066666666666667,0.6633663366336634,0.6517857142857143
9,0.7111111111111111,0.6435643564356436,0.6517857142857143
10,0.7511111111111111,0.6831683168316832,0.6160714285714286
12,0.7311111111111112,0.6534653465346535,0.7053571428571429
14,0.7366666666666667,0.6534653465346535,0.6696428571428571
16,0.7188888888888889,0.6831683168316832,0.6607142857142857
18,0.7,0.6633663366336634,0.7142857142857143
20,0.7355555555555555,0.6633663366336634,0.6428571428571429
22,0.7544444444444445,0.6633663366336634,0.6428571428571429
24,0.7288888888888889,0.6732673267326733,0.6428571428571429
26,0.7577777777777778,0.693069306930693,0.6875
28,0.7788888888888889,0.6336633663366337,0.6785714285714286
30,0.7944444444444444,0.6435643564356436,0.6607142857142857
32,0.7455555555555555,0.6336633663366337,0.6696428571428571
34,0.7955555555555556,0.6831683168316832,0.6428571428571429
36,0.7533333333333333,0.6534653465346535,0.625
38,0.7711111111111111,0.6138613861386139,0.6428571428571429
40,0.7877777777777778,0.6435643564356436,0.6875
42,0.7622222222222222,0.6237623762376238,0.6160714285714286
44,0.7655555555555555,0.6138613861386139,0.6696428571428571
46,0.7833333333333333,0.6138613861386139,0.6339285714285714
48,0.7866666666666666,0.6534653465346535,0.6160714285714286
50,0.8222222222222222,0.693069306930693,0.6517857142857143
52,0.7955555555555556,0.5841584158415841,0.6428571428571429
54,0.8122222222222222,0.6336633663366337,0.6071428571428571
56,0.7944444444444444,0.6633663366336634,0.6428571428571429
58,0.7488888888888889,0.6534653465346535,0.625
60,0.7733333333333333,0.6435643564356436,0.6696428571428571
62,0.8122222222222222,0.6732673267326733,0.6339285714285714
64,0.7744444444444445,0.6039603960396039,0.6160714285714286
66,0.7911111111111111,0.6435643564356436,0.6517857142857143
68,0.7466666666666667,0.6534653465346535,0.625
70,0.8111111111111111,0.6435643564356436,0.5982142857142857
72,0.7766666666666666,0.6138613861386139,0.6160714285714286
74,0.7522222222222222,0.6732673267326733,0.6160714285714286
76,0.7744444444444445,0.6633663366336634,0.6339285714285714
78,0.7744444444444445,0.6435643564356436,0.6428571428571429
80,0.8166666666666667,0.6732673267326733,0.5982142857142857
82,0.73,0.6435643564356436,0.6071428571428571
84,0.79,0.6831683168316832,0.6339285714285714
86,0.7566666666666667,0.6732673267326733,0.6428571428571429
88,0.7722222222222223,0.6237623762376238,0.6696428571428571
90,0.7488888888888889,0.6336633663366337,0.6607142857142857
92,0.7622222222222222,0.6336633663366337,0.6339285714285714
94,0.7411111111111112,0.6435643564356436,0.6607142857142857
96,0.7833333333333333,0.6138613861386139,0.6785714285714286
98,0.7655555555555555,0.6336633663366337,0.625
100,0.7688888888888888,0.6336633663366337,0.6339285714285714
110,0.7766666666666666,0.6336633663366337,0.5982142857142857
120,0.7466666666666667,0.6237623762376238,0.625
200,0.7466666666666667,0.6534653465346535,0.625
300,0.7288888888888889,0.6435643564356436,0.6785714285714286
400,0.7277777777777777,0.6534653465346535,0.6517857142857143
500,0.7322222222222222,0.6732673267326733,0.6964285714285714
600,0.71,0.693069306930693,0.6964285714285714
700,0.7,0.6534653465346535,0.6696428571428571
800,0.7,0.7029702970297029,0.7053571428571429
900,0.7022222222222222,0.6831683168316832,0.6964285714285714
1000,0.6822222222222222,0.7326732673267327,0.7142857142857143
