Hidden Dimensions,Train loss,Test loss
1,2.015533615822016,2.0176196219045903
2,1.837614319213601,1.8191817350025417
3,1.7239973173585048,1.7022397457798826
4,1.5122895969900974,1.5125563386120373
5,1.4254723803941594,1.3881235899804514
7,1.2126625036084375,1.1898623984071273
8,1.1248138883779215,1.1176370329494718
9,1.081358722476072,1.109501245655591
10,1.079263536597407,1.0710887410972691
12,0.905012200322262,0.9331489288354222
14,0.8105312862368517,0.856735993035232
16,0.7909110803936803,0.8498582836193375
20,0.7303768550240717,0.8297106499158884
25,0.6493857238181802,0.8316667113877549
30,0.5852782794209413,0.8707132705404789
35,0.5560919663933821,0.8799950454054
40,0.4528858912199042,1.0203340743915943
45,0.3757914548003396,1.156568836562241
50,0.3324512548917948,1.222476463529128
55,0.2652582562246988,1.3796254117277604
60,0.175237061014009,1.68861787832236
65,0.0939841959365578,1.961037827443473
70,0.0821773331222492,1.94144070148468
75,0.0086468360088982,2.675202052804488
80,0.0150735480987012,2.634767162648937
85,0.0072494684033593,2.727253431006323
90,0.0033373297694366,2.84424625921853
95,0.0006470163442975,3.0555781231650823
100,0.0011575854724871,3.0244792895981027
105,0.0004700511195466,3.010259501541717
110,0.000507088198897,2.9596553739113145
115,0.0003764362584767,2.9899406236938284
120,0.0002682917103896,3.0314320853993864
125,0.0001705604908978,3.065724505653864
130,5.999444176141392e-05,3.024669090403786
140,6.806277890994585e-05,3.010949834992614
150,7.911211812740454e-05,3.0597377653363385
160,3.672764165817488e-05,3.0421895045268386
170,2.08867499691752e-05,3.031314821182927
180,1.3936125429439884e-05,3.091067784949194
190,1.4280208033543986e-05,3.090935681439653
200,1.0488828100669918e-05,3.127355127394954
300,2.174319324443638e-06,3.0967214967631085
400,1.0458258147205174e-06,3.198875051510485
500,4.37513979369045e-07,3.2788058142118817
600,4.26578341204525e-07,3.273591433899312
700,2.758312126963156e-07,3.2897664218009277
800,2.1144057095784245e-07,3.292920924440215
900,1.7682312531808702e-07,3.403544296192217
1000,5.301796564149458e-07,3.2230093101911907
