Hidden Dimensions,Train loss,Test loss
1,2.1417064849625933,2.133337274382386
2,1.998686808076772,1.987140797361543
3,1.9694648300382225,1.956050125858452
4,1.8940174132585528,1.8758832261532168
5,1.8745401864024729,1.8613230835033368
6,1.8136846782131628,1.803558648387088
7,1.7656417590650646,1.7560972080955022
8,1.7424287318506024,1.744848396204695
9,1.7095086141066118,1.7062576254711876
10,1.669380278072574,1.6806199927873249
12,1.615083288740028,1.6500604031961177
14,1.5627141638912938,1.6139006388338306
16,1.5233345803889362,1.609555929521971
18,1.4956116266548634,1.6161476931994474
20,1.4634385867552324,1.6078180934809432
25,1.3801303262060338,1.6089785114119324
30,1.2768064876171676,1.6389274551898618
32,1.2476500547067686,1.599985425985312
35,1.1912746507335792,1.6970822554600389
40,1.1274677410044454,1.7610341717925253
45,1.052069106054577,1.7883180394957336
50,0.9263710531998764,1.9170096614692784
55,0.819187989119779,2.126671569256843
60,0.7165211832828142,2.2604485916185983
64,0.642997526563704,2.3781634373000906
70,0.5115102781829509,2.6493192352826083
75,0.42387435445562,2.8566112005257907
80,0.3672078728083182,3.0822872964641714
85,0.2433970227033238,3.567893148977545
90,0.1839592199222269,3.710925488532344
95,0.0833201304247433,4.461452988129627
100,0.0550927555887028,4.630279160753081
105,0.0371848898357711,4.90162177327313
110,0.0222863626020791,5.34946872614607
115,0.013355688504155,5.475829984568343
120,0.0097018278224409,5.487114495868925
125,0.0065882698108907,5.7484905297243145
128,0.0036612245292582,5.909994970394086
130,0.0059960663093079,5.567079314702673
135,0.0027180056970544,5.8848091982587984
140,0.002988885210057,5.828729701947562
145,0.0024378193924845,5.797602967370914
200,0.0001974223607961,6.068015623696243
256,5.871168435657058e-05,5.850295504437217
300,4.112228675849524e-05,5.821570680111269
400,1.3324781163377834e-05,5.657618848583367
512,1.0088484493050744e-05,5.622812904889071
600,5.095969851512646e-06,5.52404652667951
700,8.413468165713311e-06,5.569872433626199
800,4.9623024219029466e-06,5.512833106366894
900,4.878874619055037e-06,5.486212980898121
1000,4.394976401316859e-06,5.450845573521868
