Hidden Dimensions,Train loss,Test loss
1.0,0.6175446334694114,0.5948484800755978
2.0,0.5778634612049375,0.5369379110634327
3.0,0.55731031005936,0.5145613737404346
4.0,0.5331604116197143,0.4879591800272465
5.0,0.5094436505543334,0.4663936551660299
6.0,0.49348237338875023,0.45765763334929943
7.0,0.4784131590276956,0.448194719851017
8.0,0.4627660936010735,0.4506797827780247
9.0,0.45009761516536984,0.4400826133787632
10.0,0.4401256370225123,0.4322335533797741
12.0,0.40638571711523197,0.4234893433749676
14.0,0.3666560011250632,0.4448672700673342
16.0,0.3444082579974618,0.4699707701802254
18.0,0.31770512847495924,0.47386052645742893
20.0,0.31304843604032484,0.4634220227599144
22.0,0.28339120798877304,0.4628366529941559
24.0,0.26760733686387533,0.46462645567953587
26.0,0.26107139579419575,0.5052225105464458
28.0,0.2371859700818147,0.5309529285877943
30.0,0.20230888315875611,0.5365412514656782
32.0,0.19297734794339955,0.5911019705235958
34.0,0.2141045024618506,0.5492257475852966
36.0,0.19242359544815757,0.5646879486739635
38.0,0.17292415636724656,0.5879617314785719
40.0,0.15739818083654555,0.6600628774613142
42.0,0.16055466487471542,0.5785580221563578
44.0,0.1457892783717917,0.6607786379754543
46.0,0.14056309964507813,0.6314260568469763
48.0,0.1458092505178813,0.6141065992414951
50.0,0.1400572394153901,0.5920007172971964
52.0,0.12264290641594143,0.6355152502655983
54.0,0.10682816913218365,0.681831719353795
56.0,0.09406832339508187,0.6707263235002756
58.0,0.08769628844623047,0.7591759786009789
60.0,0.1248465220310858,0.6630045212805271
62.0,0.0904205763779048,0.752540547400713
64.0,0.08619729489354144,0.7240462303161621
66.0,0.08978579085253707,0.7282815799117088
68.0,0.08248293632641428,0.7512996606528759
70.0,0.07138497269313247,0.7991470396518707
72.0,0.08486799599735857,0.6799268387258053
74.0,0.08620097752593986,0.7255768422037363
76.0,0.08612449583597478,0.7186949402093887
78.0,0.06863830602794346,0.758515290915966
80.0,0.0706696273492915,0.7149082981050014
82.0,0.07642274642629278,0.7264340668916702
84.0,0.06494118951793225,0.7798184845596552
86.0,0.0581056067520486,0.7948483694344759
88.0,0.06541396614297156,0.7408391162753105
90.0,0.05610651947790753,0.76338766887784
92.0,0.05243072202262865,0.8058561272919178
94.0,0.060142528714745125,0.732755308970809
96.0,0.04564845779844158,0.8170631527900696
98.0,0.053020584430279426,0.8152453973889351
100.0,0.0395003431559806,0.8746528401970863
110.0,0.04491719216873333,0.7465965673327446
120.0,0.04003874657376265,0.8940139599144459
200.0,0.04879068564956205,0.8413891233503819
300.0,0.04904166401164335,0.8936185687780379
400.0,0.05778671321292802,1.0041028782725334
500.0,0.07095767689004003,0.8984627835452557
600.0,0.06657650903798633,0.9284167233854532
700.0,0.09642178335759251,0.9104693792760372
800.0,0.07305390349522763,0.9326447956264019
900.0,0.08754448546096677,0.8691759072244167
1000.0,0.07695762703328254,0.989062026143074
