Hidden Dimensions,Train loss,Test loss
1,0.6051427551678249,0.5930132120847702
2,0.4868623188563755,0.4875960722565651
3,0.4802490419575146,0.5039553195238113
4,0.4610391046319689,0.4528853818774223
5,0.4047135966164725,0.4355150088667869
6,0.3924618182437761,0.4406791925430298
7,0.3491130588310105,0.4202819317579269
8,0.3318251126578876,0.4453591406345367
9,0.3222261864159788,0.364767387509346
10,0.2715198482785906,0.4474448785185814
11,0.2637003899684974,0.4047795534133911
12,0.232373835252864,0.4504925385117531
14,0.2226645935858999,0.388540156185627
16,0.226729357349021,0.5180482566356659
18,0.2122547711644853,0.4043609499931335
20,0.1618206075259617,0.4388785064220428
22,0.1602925546467304,0.4482601284980774
24,0.1354592610150575,0.4729906246066093
26,0.1050449588469096,0.6044212281703949
28,0.1167746984532901,0.461168110370636
30,0.091763961927167,0.5961211025714874
32,0.0948824515300137,0.5102530419826508
34,0.0718029545886176,0.5820726156234741
36,0.0503325337943221,0.5946208387613297
38,0.1010207760014704,0.6534962803125381
40,0.0545706143602728,0.6273593232035637
42,0.0445708812081388,0.6317964792251587
44,0.0537539143780512,0.5736605823040009
46,0.044553385315729,0.6248479634523392
48,0.026905871728169,0.6942498981952667
50,0.0615459384529718,0.5934007614850998
52,0.0338236625705446,0.6109147816896439
54,0.0382997746845441,0.5662775784730911
56,0.0297419927082955,0.5941388010978699
58,0.0420706846219088,0.6601933389902115
60,0.0165183259606627,0.7793160974979401
62,0.0299087548961064,0.5942946448922157
64,0.0261736992147884,0.6804604530334473
66,0.0372731072295989,0.6051440164446831
70,0.0242170435376465,0.7236369252204895
72,0.0219212967702852,0.6246316209435463
74,0.0267094447543578,0.629211813211441
76,0.0271357840725353,0.6578809097409248
78,0.0350166856909969,0.6651944518089294
80,0.0258161573271666,0.6074420064687729
82,0.0359925992587315,0.6492647230625153
84,0.0188985717748957,0.6122041940689087
86,0.0235316027953688,0.5940364822745323
88,0.0280066999340696,0.609313540160656
90,0.0126051216585827,0.7182160243391991
92,0.0332262713927775,0.5970434471964836
94,0.0112095306560929,0.6954473480582237
96,0.0115126347851141,0.6692087352275848
98,0.0086934321027781,0.6675038039684296
100,0.0216119128745049,0.5987227037549019
110,0.014029106091974,0.6997227072715759
120,0.0185240002714895,0.6509468629956245
200,0.01308923761826,0.8207241296768188
300,0.020975890003943,0.7022616863250732
400,0.0101141404759671,0.9341428726911544
500,0.0173458548295976,0.8211350291967392
600,0.0110236345540865,0.8944784998893738
700,0.0291914840761039,0.8089767545461655
800,0.0314807530958205,0.7704379707574844
900,0.0361976026158247,0.814948320388794
1000,0.0382189249752887,0.6960778012871742
