Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.6825170842824602,0.6879795396419437,0.6728110599078341
2,0.7733485193621867,0.7800511508951407,0.7649769585253456
3,0.77249430523918,0.782608695652174,0.7603686635944701
4,0.7864464692482915,0.7493606138107417,0.783410138248848
5,0.8297266514806378,0.7877237851662404,0.8294930875576036
6,0.833997722095672,0.782608695652174,0.8133640552995391
7,0.8488041002277904,0.7979539641943734,0.8410138248847926
8,0.8613325740318907,0.8363171355498721,0.8317972350230415
9,0.864749430523918,0.8184143222506394,0.8502304147465438
10,0.8858200455580866,0.8158567774936062,0.8433179723502304
11,0.8969248291571754,0.8260869565217391,0.836405529953917
12,0.9046127562642368,0.8081841432225064,0.8341013824884793
14,0.908883826879271,0.8286445012787724,0.8317972350230415
16,0.9091685649202732,0.8107416879795396,0.8064516129032258
18,0.9100227790432802,0.8388746803069054,0.8456221198156681
20,0.9402050113895216,0.8158567774936062,0.8456221198156681
22,0.9399202733485194,0.8414322250639387,0.8271889400921659
24,0.9513097949886103,0.8209718670076727,0.8294930875576036
26,0.9644077448747151,0.8312020460358056,0.8271889400921659
28,0.9607061503416856,0.8465473145780051,0.836405529953917
30,0.9726651480637812,0.8235294117647058,0.8341013824884793
32,0.966116173120729,0.8260869565217391,0.847926267281106
34,0.979498861047836,0.8260869565217391,0.8410138248847926
36,0.987756264236902,0.8260869565217391,0.836405529953917
38,0.9681093394077448,0.8209718670076727,0.8387096774193549
40,0.984624145785877,0.8260869565217391,0.8502304147465438
42,0.9883257403189066,0.8260869565217391,0.8548387096774194
44,0.9860478359908884,0.8286445012787724,0.8433179723502304
46,0.9883257403189066,0.8158567774936062,0.8271889400921659
48,0.9945899772209568,0.8209718670076727,0.836405529953917
50,0.9820615034168564,0.8414322250639387,0.8571428571428571
52,0.9928815489749432,0.8286445012787724,0.8594470046082949
54,0.9908883826879272,0.8260869565217391,0.8548387096774194
56,0.9928815489749432,0.8312020460358056,0.8387096774193549
58,0.9891799544419134,0.8184143222506394,0.836405529953917
60,0.9974373576309796,0.8414322250639387,0.8294930875576036
62,0.994020501138952,0.8005115089514067,0.8594470046082949
64,0.9951594533029612,0.8235294117647058,0.8387096774193549
66,0.989749430523918,0.8286445012787724,0.8341013824884793
70,0.994874715261959,0.8184143222506394,0.8248847926267281
72,0.9971526195899773,0.8337595907928389,0.8271889400921659
74,0.9945899772209568,0.8081841432225064,0.8410138248847926
76,0.9943052391799544,0.7979539641943734,0.847926267281106
78,0.9931662870159452,0.8260869565217391,0.8248847926267281
80,0.994874715261959,0.8209718670076727,0.836405529953917
82,0.9923120728929384,0.8260869565217391,0.8571428571428571
84,0.9974373576309796,0.8184143222506394,0.8410138248847926
86,0.9951594533029612,0.8235294117647058,0.8525345622119815
88,0.994020501138952,0.8158567774936062,0.8525345622119815
90,0.9982915717539864,0.8286445012787724,0.8387096774193549
92,0.9934510250569476,0.8184143222506394,0.8341013824884793
94,0.9982915717539864,0.8005115089514067,0.8502304147465438
96,0.998006833712984,0.8132992327365729,0.8456221198156681
98,0.9991457858769932,0.8209718670076727,0.8640552995391705
100,0.9977220956719818,0.8132992327365729,0.8410138248847926
110,0.9974373576309796,0.8312020460358056,0.8410138248847926
120,0.996013667425968,0.8260869565217391,0.8502304147465438
200,0.9977220956719818,0.7979539641943734,0.8410138248847926
300,0.9957289293849658,0.8286445012787724,0.8410138248847926
400,0.9988610478359908,0.8158567774936062,0.8271889400921659
500,0.9962984054669703,0.7953964194373402,0.8294930875576036
600,0.9974373576309796,0.8005115089514067,0.8387096774193549
700,0.9931662870159452,0.8286445012787724,0.8617511520737328
800,0.9925968109339408,0.80306905370844,0.8271889400921659
900,0.989749430523918,0.8132992327365729,0.8294930875576036
1000,0.9903189066059226,0.80306905370844,0.8433179723502304
