Hidden Dimensions,Train loss,Test loss
1,0.6281348892620632,0.603484719991684
2,0.5705437596355166,0.5953128188848495
3,0.5234122116650853,0.5443118959665298
4,0.4995451835649354,0.5102481469511986
5,0.4510808980890682,0.4953537955880165
6,0.4176947346755436,0.5154709070920944
7,0.359698694731508,0.4947817996144295
8,0.3156027942895889,0.4928482696413994
9,0.2966898887285164,0.5250717476010323
10,0.291509674595935,0.5377118140459061
12,0.2101788323904787,0.5763364434242249
14,0.1339053163038832,0.6783648431301117
16,0.1697405177567686,0.5793411880731583
18,0.1452396993658372,0.6850481182336807
20,0.083389417667474,0.5925414934754372
22,0.0887182279090796,0.6035723090171814
24,0.0607691360637545,0.7757268846035004
26,0.0602111936812954,0.6791596859693527
28,0.0470226993784308,0.846737302839756
30,0.0342606683261692,0.7921148091554642
32,0.0277472427114844,0.9260497242212296
34,0.0300580531558288,0.8732893317937851
40,0.0188258889497124,0.8525472283363342
42,0.0165979548224381,0.7726071029901505
44,0.0154083476102511,0.8229392170906067
46,0.0099430192910533,0.8478043228387833
48,0.0091009136023265,0.8880033642053604
50,0.0106671265675686,0.9200827479362488
52,0.0090255938370579,1.0160579234361649
54,0.0121650450081298,0.949719101190567
56,0.0082394371981666,0.8772905319929123
58,0.0059101150088411,0.8624533265829086
60,0.0061512606459603,1.1423299014568329
62,0.0067990952021708,0.8282276690006256
64,0.0060028748204266,0.9363907426595688
66,0.0085699778781937,0.8412201926112175
68,0.0071045074478856,1.1558142304420471
70,0.0083144182613718,1.0716270506381989
72,0.0046848443681873,1.0995959788560867
74,0.0068027730864871,0.9206617325544356
76,0.0064159181700753,0.9478081911802292
78,0.0065768926080116,0.9861912727355956
80,0.0072973965517511,0.8719814866781235
90,0.0060563973383978,0.8545067459344864
100,0.0059595274942694,0.8898938149213791
200,0.0046946237957204,0.8849094808101654
300,0.0053294391629086,0.9655208140611647
400,0.0040093529574473,1.0433099567890167
500,0.006442701547972,0.9186003804206848
600,0.0044409725544807,1.0364388674497604
700,0.0043945456917364,1.3918311595916748
800,0.0048399076393772,1.3780045807361605
900,0.0054726503273871,1.307996615767479
1000,0.0047931736106485,1.2351626455783844
