Hidden Dimensions,Train loss,Test loss
1,2.1831094182350417,2.1798473581483093
2,2.097308375280012,2.08978681775588
3,2.064494512975216,2.05950294416162
4,2.01915953443809,2.009645440910436
5,1.980272962288423,1.979845279379736
6,1.9290285591374745,1.9268716981139364
7,1.9197751073674725,1.9318107517459724
8,1.8485252633690836,1.8917634155176863
9,1.8696716089140288,1.8782191336909424
10,1.8250231424515897,1.8456361761576008
12,1.7752816765145822,1.8182006108609936
14,1.749801574444229,1.7965923230859298
16,1.715474669906226,1.78646783436401
18,1.6686391891403631,1.7994585505014733
20,1.6453391760587692,1.796319766889645
25,1.598515601659363,1.820375404780424
30,1.5335412987253882,1.8413621021222464
35,1.415911911224777,1.9310653617110436
40,1.405443114651875,1.9274234409573712
45,1.2609785642813554,2.0184869404080548
50,1.1743815459988334,2.1513118924973886
55,1.103973396291787,2.218454797056657
60,1.003716597164219,2.3586879440500765
65,0.8472031112760305,2.621439639526077
70,0.7115029450505972,2.908761501312256
75,0.6514437357810411,2.995512219923961
80,0.4762692296538841,3.587300647663165
85,0.3644623897800391,3.9926273098474816
90,0.3001939181915738,4.212440807608109
95,0.1449002879460088,5.097677903839305
100,0.1099104231371629,5.279251641865018
105,0.0832519794613207,5.697241511525987
110,0.0539070575614459,6.140512037880813
120,0.0294039155798435,6.25652555272549
130,0.0095276510364783,6.904237578186808
140,0.0088940428375446,6.910548216179956
150,0.0041841049920053,7.245659882509256
160,0.0028599628311977,7.226821169068541
170,0.0012379373313871,7.322778955290589
180,0.0008470734497181,7.326033791409263
190,0.0005061904182536,7.349701386463793
200,0.0002915640360986,7.468631973749475
300,0.0001358358729042,7.217922554740423
400,2.331693680575468e-05,7.281879352617867
500,1.7873541045270773e-05,7.080351310440257
600,7.508091432452023e-06,6.986111556427388
700,4.817070209384156e-06,7.0887729367123375
800,4.694389304595668e-06,6.817135919498492
900,6.597937670963202e-06,6.6814224689821655
1000,3.602760542262021e-06,6.787775323360781
